PatchId,FileName,FullPath,CompletedDate
34,2022_04_13 _ALTER_AvailableVolume_ADD_COLUMS_SourceAllocation.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_13 _ALTER_AvailableVolume_ADD_COLUMS_SourceAllocation.sql,2022-05-23 13:30:27.223
35,2022_04_25 _MIGRATION_Market_Platform_Instrument_Price_Configurations.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_25 _MIGRATION_Market_Platform_Instrument_Price_Configurations.sql,2022-05-23 13:30:28.333
36,2022_04_25_1_TASMarketPlatformInstruments.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_25_1_TASMarketPlatformInstruments.sql,2022-05-23 13:30:28.877
37,2022_04_26_CREATE_MarketPlatformInstrumentRolesTable.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_04_26_CREATE_MarketPlatformInstrumentRolesTable.sql,2022-05-23 13:30:29.617
38,2022_05_02_CREATE_PriceNotificationDistributionTables.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_02_CREATE_PriceNotificationDistributionTables.sql,2022-05-23 13:30:30.157
39,2022_05_04_ALTER_PriceNotificationMessage_ADD_COLUMN_ValidForDistribution.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_04_ALTER_PriceNotificationMessage_ADD_COLUMN_ValidForDistribution.sql,2022-05-23 13:30:30.910
40,2022_05_06_CREATE_PriceNotificationCounterPartyConfiguration.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_06_CREATE_PriceNotificationCounterPartyConfiguration.sql,2022-05-23 13:30:31.460
41,2022_05_08__ADD_PriceNotificationDistributionType_CodeValue_CodeSet_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_08__ADD_PriceNotificationDistributionType_CodeValue_CodeSet_Data.sql,2022-05-23 13:30:34.020
42,2022_05_09_16_sd_SeedPriceNotificationDistributionMethods.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_09_16_sd_SeedPriceNotificationDistributionMethods.sql,2022-05-23 13:30:34.567
43,2022_05_09_16_sd_SeedPriceNotificationDistributionMethods.sql.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_09_16_sd_SeedPriceNotificationDistributionMethods.sql.sql,2022-05-23 13:30:35.117
44,2022_05_10_ALTER_PriceNotificationDistributionMapping_ADD_Created_Updated_Time.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_10_ALTER_PriceNotificationDistributionMapping_ADD_Created_Updated_Time.sql,2022-05-23 13:30:35.907
45,2022_05_10_ALTER_DeliveryPeriodConfiguration_ADD_COLUMNS_InstrumentName_DeliveryPeriodFromDateTime_DeliveryPeriodToDateTime_DeliveryPeriodName_FutureMonth.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_05_10_ALTER_DeliveryPeriodConfiguration_ADD_COLUMNS_InstrumentName_DeliveryPeriodFromDateTime_DeliveryPeriodToDateTime_DeliveryPeriodName_FutureMonth.sql,2022-06-15 14:47:17.140
46,2022_06_21_sd_CodeValue_CodeSet_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_21_sd_CodeValue_CodeSet_Data.sql,2022-06-21 12:01:11.037
47,2022_06_21_1_sd_Menu_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_21_1_sd_Menu_Data.sql,2022-06-21 12:38:04.113
48,2022_06_21_2_sd_SeedInitialDashboardWidgets.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_21_2_sd_SeedInitialDashboardWidgets.sql,2022-06-21 12:38:05.553
49,2022_07_15_CUSTOM_DeleteTASMarketPlatformInstruments.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_15_CUSTOM_DeleteTASMarketPlatformInstruments.sql,2022-07-18 14:36:20.520
50,2022_07_15_CUSTOM_sd_CodeValue_CodeSet_Data.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_15_CUSTOM_sd_CodeValue_CodeSet_Data.sql,2022-07-18 14:36:22.453
51,2022_07_15_CUSTOM_sd_Menu_Data.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_15_CUSTOM_sd_Menu_Data.sql,2022-07-18 14:36:22.777
52,2022_07_15_CUSTOM_sd_SeedInitialDashboardWidgets.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_15_CUSTOM_sd_SeedInitialDashboardWidgets.sql,2022-07-18 14:36:23.110
53,2022_06_17_FixWidgetNames_Open_To_Pending.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_17_FixWidgetNames_Open_To_Pending.sql,2022-07-18 14:36:23.257
54,2022_06_21_CREATE_MarketPlatformPriceAdjustmentTables.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_21_CREATE_MarketPlatformPriceAdjustmentTables.sql,2022-07-18 14:36:23.437
55,2022_06_22_CREATE_TABLE_LoadingNumber.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_22_CREATE_TABLE_LoadingNumber.sql,2022-07-18 14:36:23.687
56,2022_06_30_ALTER_MarketPlatformInstrument_Add_ProductAssociationTypeCvId.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_06_30_ALTER_MarketPlatformInstrument_Add_ProductAssociationTypeCvId.sql,2022-07-18 14:36:23.843
57,2022_07_07_ALTER_MarketPlatformInstrument_ADD_COLUMN_OriginLocationAssociationTypeCvId.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_07_ALTER_MarketPlatformInstrument_ADD_COLUMN_OriginLocationAssociationTypeCvId.sql,2022-07-18 14:36:23.997
58,2022_07_07_ALTER_PriceConfiguration_ADD_COLUMN_FuturesPriceRequired.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_07_ALTER_PriceConfiguration_ADD_COLUMN_FuturesPriceRequired.sql,2022-07-18 14:36:24.143
59,2022_07_19_CUSTOM_sd_SeedInitialDashboardWidgets.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_19_CUSTOM_sd_SeedInitialDashboardWidgets.sql,2022-07-19 13:35:52.987
60,2022_07_13_ALTER_TradeEntry_ADD_ExternalProcessStatus_COLUMNS.sql,C:\workspace\Gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_13_ALTER_TradeEntry_ADD_ExternalProcessStatus_COLUMNS.sql,2022-07-19 13:35:53.143
61,2022_07_25_ALTER_TradeEntrySetupVolumeConstraints_ADD_MonthlyVolume_COLUMNS.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_25_ALTER_TradeEntrySetupVolumeConstraints_ADD_MonthlyVolume_COLUMNS.sql,2022-08-16 13:32:04.147
62,2022_07_27_ALTER_MarketPlatformInstrument_ADD_COLUMN_AllowsPreferredCarriers.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_27_ALTER_MarketPlatformInstrument_ADD_COLUMN_AllowsPreferredCarriers.sql,2022-08-16 13:32:04.903
63,2022_07_27_CREATE_TABLE_MarketPlatformLocationConfiguration.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_27_CREATE_TABLE_MarketPlatformLocationConfiguration.sql,2022-08-16 13:32:05.660
64,2022_07_27_CREATE_TABLE_TradeEntryDetailCounterPartyAssociation.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_07_27_CREATE_TABLE_TradeEntryDetailCounterPartyAssociation.sql,2022-08-16 13:32:06.287
65,2022_08_05_ALTER_CounterPartyCredit_ADD_COLUMNS_CreditWatchPercentage_CreditHoldPercentage_CreditStatusOverrideCvId.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_05_ALTER_CounterPartyCredit_ADD_COLUMNS_CreditWatchPercentage_CreditHoldPercentage_CreditStatusOverrideCvId.sql,2022-08-16 13:32:06.897
66,2022_08_12_ALTER_CounterPartyCredit_ADD_COLUMN_IsActive.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_12_ALTER_CounterPartyCredit_ADD_COLUMN_IsActive.sql,2022-08-16 13:32:07.503
